"subjectID","age","target","domain","parcellation","beta","hemisphere","region","process","label"
"s011",13,"other","social","102",-0.534259649686295,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s014",10,"self","academic","102",1.95497144144577,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s014",10,"self","social","102",0.54861597835728,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s014",10,"other","academic","102",-2.40503482902732,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s014",10,"other","social","102",-2.98347195295647,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s015",10,"self","academic","102",-2.00163316593927,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s015",10,"self","social","102",-0.133934340229309,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s015",10,"other","academic","102",1.36161416066465,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s015",10,"other","social","102",0.00134678049544723,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s016",10,"self","academic","102",-0.245929058272483,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s016",10,"self","social","102",1.17237873923682,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s016",10,"other","academic","102",2.58709736340587,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s016",10,"other","social","102",0.223771327113664,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s016",13,"self","academic","102",-0.158853804817095,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s016",13,"self","social","102",-0.689124582955783,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s016",13,"other","academic","102",0.505563913317463,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s016",13,"other","social","102",-1.40445877050967,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s016",16,"self","academic","102",-1.37578660348067,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s016",16,"self","social","102",-0.268970158348492,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s016",16,"other","academic","102",-0.417534627740652,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s016",16,"other","social","102",-1.89738299056508,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s017",13,"self","academic","102",-2.70783137468338,"left","rmPFC_BA10","other","left_rmPFC_BA10"
